Epoch,Train_mIoU,Val_mIoU
1,0.16796202542292035,0.17183298342861233
2,0.3269539310201997,0.3627814049056421
3,0.4225061467280367,0.36823957537223273
4,0.47514434762486585,0.5004775303629383
5,0.5092099729296685,0.5052821263176156
6,0.5403760404252683,0.5294627068331466
7,0.5619435032643443,0.5326272448777066
8,0.5669160760240877,0.5316611493142167
9,0.5849668956458944,0.5417967033494885
10,0.5874983927221447,0.5800056829499226
11,0.6008154889327919,0.5836339253311356
12,0.6181354879528624,0.6134208589792252
13,0.6459766961507158,0.5665005850295226
14,0.627275747104696,0.6251513843735058
15,0.6473248483951796,0.6307347565889359
16,0.6752270567146212,0.5915630523484045
17,0.693900238248435,0.6174922436475754
18,0.6959630977701056,0.5942104070757827
19,0.7050756438211959,0.6289487560590108
20,0.7141675366596743,0.6445060009757678
21,0.7151334949515082,0.627502977848053
22,0.7330613145774062,0.6840463658173879
23,0.7399974516846917,0.5972996724148592
24,0.7521855890750885,0.6393604218959809
25,0.7505852482535622,0.6149590422709784
26,0.7588472108949312,0.6750801881154378
27,0.7501784320582043,0.5950397650526914
28,0.779699254442345,0.642041074236234
29,0.7785032052885402,0.6516453206539153
30,0.7887081081216984,0.7053621689478557
31,0.7963701310482892,0.6987917800744374
32,0.8011476110328328,0.6450591700772444
33,0.7951442886482586,0.6762907147407531
34,0.827343370697715,0.7101994295914968
35,0.8202046559615568,0.722464124361674
36,0.8028683318333191,0.675147787729899
37,0.8202817108143458,0.6924789965152739
38,0.8176847119222987,0.7159436980883281
39,0.8323558818210255,0.6942483385403951
40,0.8265970917587931,0.6823892752329508
41,0.8296959072351455,0.7082464416821797
42,0.8343868764964015,0.7158756077289582
43,0.8508011037653141,0.7323234836260477
44,0.8371895454146643,0.7198956727981568
45,0.8340565898201683,0.7051210165023803
46,0.8694991989569232,0.7360308031241098
47,0.8451322666623375,0.7350939055283865
48,0.8667574803937567,0.7401508192221323
49,0.8608108206228777,0.6932292064030965
50,0.866037183458155,0.7333450565735499
51,0.8701666999946941,0.7245972057183584
52,0.8775943013754759,0.7305331269900005
53,0.8784626055847514,0.7236078649759293
54,0.880159336870367,0.7152881453434626
55,0.8707712103020061,0.7130842407544454
56,0.8829909844831986,0.742543919881185
57,0.8775920049710707,0.7233773946762087
58,0.8879810132763603,0.7162081837654114
59,0.885070445320823,0.7295992056528727
60,0.886419829455289,0.739873339732488
61,0.8932435095310212,0.7211846788724264
62,0.8916541641408746,0.725367772579193
63,0.893581367080862,0.7270828942457834
64,0.8864593654870987,0.7243404984474182
65,0.8909460208632729,0.7256434937318166
66,0.8897096853364598,0.7253718376159668
67,0.895029260895469,0.7249877671400706
68,0.8986018175428565,0.722897054751714
69,0.8990152808752928,0.7251959602038066
70,0.8978535874323412,0.7240970472494762
71,0.905559118227525,0.7283712526162466
72,0.8974910194223579,0.7263151466846466
73,0.9002468878572636,0.7291258374849955
74,0.9034563861109994,0.731890598932902
75,0.8994789546186275,0.7309936781724294
76,0.9023640291257338,0.7290812691052754
77,0.8991987932812083,0.7281562646230061
78,0.9010959619825538,0.7289894163608551
79,0.9038720726966858,0.7273691753546396
80,0.8920515363866631,0.7300451318422952
