Epoch,Train_mIoU,Val_mIoU
1,0.37886368529626374,0.46957746545473733
2,0.5353607707656921,0.5196896647413571
3,0.6003803893923759,0.5143134941657385
4,0.6214885649355977,0.56009168724219
5,0.6515189875255931,0.5496902962525686
6,0.6603340574286201,0.5887099663416545
7,0.6831526683135466,0.596317309141159
8,0.697450430284847,0.6390680849552155
9,0.7032869022000919,0.6364398678143819
10,0.7200713257897985,0.6203977942466735
11,0.7391519928520375,0.6242713749408723
12,0.7426226710731334,0.6459580401579539
13,0.7424197584390639,0.6329749663670858
14,0.7484078488566659,0.6201807131369909
15,0.7419488993558015,0.6121227860450745
16,0.7589632757685402,0.6336170713106791
17,0.7820596505295145,0.6379636565844218
18,0.7691933398897,0.6433139562606812
19,0.7727036784995687,0.6386231144269306
20,0.7692504584789276,0.6447141309579214
21,0.7876257487318733,0.6456262816985449
22,0.787764022025195,0.6179859846830368
23,0.7756538355892353,0.653823874394099
24,0.7961518851193514,0.6488826880852382
25,0.7990400193767115,0.6519463360309601
26,0.8049344171177256,0.6388354778289795
27,0.8071766709739511,0.6564541488885879
28,0.7943501342426647,0.6461221983035405
29,0.806316414204511,0.6181974192460378
30,0.8150257441130552,0.6520428041617076
31,0.8138159611008384,0.6454217791557313
32,0.8038344984704796,0.6396929502487183
33,0.8030437583273108,0.6295633425315221
34,0.8092355354265733,0.6198822766542436
35,0.8256916116584432,0.6570911049842835
36,0.8213231964544817,0.6446541259686153
37,0.823565842888572,0.6383687357107799
38,0.8153137976473027,0.6398946513732274
39,0.8267176121473313,0.6240946431954701
40,0.8383958361365579,0.6252808054288228
41,0.838922678340565,0.6495445549488067
42,0.8348493080247532,0.6482516636451084
43,0.8275890856981275,0.6447882016499836
44,0.832934800603173,0.6625343253215153
45,0.8337893068790436,0.6501289159059525
46,0.8464216562834654,0.6601288000742594
47,0.841082203388214,0.6501152773698171
48,0.8447245023467324,0.6504086593786875
49,0.845995099436153,0.651076419154803
50,0.83182101466439,0.6486834466457366
51,0.8513966023921966,0.6469828267892201
52,0.8548328909006986,0.6445964237054189
53,0.8543596652421086,0.6466777920722961
54,0.8430594823577188,0.6461881011724472
55,0.8565088895234196,0.6525300910075506
56,0.8523473940112374,0.6562739411989847
57,0.8562146929177373,0.6536120553811391
58,0.8553395260464061,0.6570233652989069
59,0.8568298307332127,0.6515832344690959
60,0.8577331808480348,0.6574522197246552
61,0.8604121381586249,0.6517727732658386
62,0.8613782779736954,0.6496202637751898
63,0.8610943414948203,0.647529403368632
64,0.8630295011130247,0.6487514187892278
65,0.8624073554169047,0.6488109091917674
66,0.8655136590654201,0.6512552877267201
67,0.859338918057355,0.6472360402345657
68,0.8583021684126423,0.650243624051412
69,0.8617669387297195,0.6499919831752777
70,0.8673986863006244,0.6502566109100977
71,0.866052222251892,0.6507961342732111
72,0.8643977471373298,0.6525575250387191
73,0.8678511099381879,0.6512841502825418
74,0.8612034179947592,0.6517700503269831
75,0.8675927530635488,0.6525277972221374
76,0.8657272447239268,0.6527054578065873
77,0.8699047901413658,0.6522349715232849
78,0.8610865175724031,0.6523419012626012
79,0.8672100023789838,0.651871078213056
80,0.8612818138165906,0.6530027389526366
